problem	domain	status	vampire_s
ALG033+1	ALG	Theorem	0.41
ALG043+1	ALG	Theorem	0.01
ALG106+1	ALG	Theorem	0.36
ALG245-1	ALG	Unsatisfiable	0.72
ANA023-2	ANA	Unsatisfiable	0.01
COL002-2	COL	Unsatisfiable	0.29
COL002-4	COL	Unsatisfiable	0.03
COL004-3	COL	Unsatisfiable	0.01
COL062-1	COL	Unsatisfiable	0.08
COM003-1	COM	Unsatisfiable	0.01
COM018+1	COM	Theorem	0.01
CSR040+1	CSR	Theorem	0.02
CSR055+1	CSR	Theorem	0.01
CSR059+1	CSR	Theorem	0.01
GEO280+1	GEO	Theorem	0.47
GRA001-1	GRA	Unsatisfiable	0.00
GRP003-1	GRP	Unsatisfiable	0.01
GRP126-2.004	GRP	Unsatisfiable	0.21
GRP129-4.004	GRP	Unsatisfiable	0.22
GRP457-1	GRP	Unsatisfiable	0.01
GRP604-1	GRP	Unsatisfiable	0.04
GRP639+1	GRP	Theorem	0.02
GRP659-10	GRP	Unsatisfiable	0.45
GRP698-1	GRP	Unsatisfiable	0.24
GRP703+1	GRP	Theorem	0.03
GRP708-1	GRP	Unsatisfiable	0.16
GRP775+1	GRP	Theorem	0.13
LAT327+1	LAT	Theorem	0.02
LAT374+1	LAT	Theorem	0.37
LAT387+4	LAT	Theorem	0.22
LCL007-1	LCL	Unsatisfiable	0.01
LCL066-1	LCL	Unsatisfiable	0.01
LCL642+1.015	LCL	Theorem	0.04
LCL748-1	LCL	Unsatisfiable	0.18
MGT009-1	MGT	Unsatisfiable	0.01
MGT014-1	MGT	Unsatisfiable	0.01
MGT018-1	MGT	Unsatisfiable	0.01
MGT029+1	MGT	Theorem	0.14
MGT036+3	MGT	Theorem	0.01
MGT039-1	MGT	Unsatisfiable	0.16
NUM409+1	NUM	Theorem	0.01
NUM431+1	NUM	Theorem	0.46
NUM462+2	NUM	Theorem	0.73
NUM464+1	NUM	Theorem	0.02
NUM544+2	NUM	Theorem	0.02
NUM556+1	NUM	Theorem	0.23
NUM564+1	NUM	Theorem	0.04
NUM844+2	NUM	Theorem	0.01
NUM858+1	NUM	Theorem	0.14
PUZ029-1	PUZ	Unsatisfiable	0.00
RNG103+2	RNG	Theorem	0.46
RNG112+1	RNG	Theorem	0.12
SET015-4	SET	Unsatisfiable	0.13
SET194+3	SET	Theorem	0.01
SET671+3	SET	Theorem	0.22
SET826-2	SET	Unsatisfiable	0.01
SET827-2	SET	Unsatisfiable	0.00
SET857-2	SET	Unsatisfiable	0.23
SET884+1	SET	Theorem	0.01
SET902+1	SET	Theorem	0.01
SET906+1	SET	Theorem	0.01
SET933+1	SET	Theorem	0.01
SET968+1	SET	Theorem	0.07
SEU019+1	SEU	Theorem	0.02
SEU144+2	SEU	Theorem	0.01
SEU200+1	SEU	Theorem	0.01
SEU214+1	SEU	Theorem	0.49
SEU257+1	SEU	Theorem	0.01
SEU281+1	SEU	Theorem	0.02
SEU327+1	SEU	Theorem	0.02
SEU328+1	SEU	Theorem	0.02
SEU350+1	SEU	Theorem	0.04
SEU363+1	SEU	Theorem	0.22
SEV515+1	SEV	Theorem	0.01
SWB019+2	SWB	Unsatisfiable	0.01
SWB021+2	SWB	Theorem	0.90
SWV295-2	SWV	Unsatisfiable	0.01
SWV327-2	SWV	Unsatisfiable	0.12
SWV866-1	SWV	Unsatisfiable	0.00
SWV898-1	SWV	Unsatisfiable	0.02
SWV904-1	SWV	Unsatisfiable	0.01
SWV910-1	SWV	Unsatisfiable	0.29
SWX203+1	SWX	Theorem	0.02
SYN004-1.007	SYN	Unsatisfiable	0.01
SYN029-1	SYN	Unsatisfiable	0.01
SYN053-1	SYN	Unsatisfiable	0.01
SYN067+1	SYN	Theorem	0.01
SYN067-2	SYN	Unsatisfiable	0.01
SYN319-1	SYN	Unsatisfiable	0.01
SYN395+1	SYN	Theorem	0.01
SYN407+1	SYN	Theorem	0.02
SYN502+1	SYN	Theorem	0.13
SYN508+1	SYN	Theorem	0.15
SYN508-1	SYN	Unsatisfiable	0.15
SYN572-1	SYN	Unsatisfiable	0.23
SYN575-1	SYN	Unsatisfiable	0.02
SYN650-1	SYN	Unsatisfiable	0.40
SYN663-1	SYN	Unsatisfiable	0.01
SYN923+1	SYN	Theorem	0.00
SYO670-1	SYO	Unsatisfiable	0.21
