problem	logic	sort	vampire_s
LIA_20190429_UltimateAutomizerSvcomp2019_jain_7_true_unreach_call_true_no_overflow_false_termination_i_8	LIA	ℤ	0.02
LIA_UltimateAutomizer_Primes_true_unreach_call_c_670	LIA	ℤ	0.01
LIA_UltimateAutomizer_Primes_true_unreach_call_c_678	LIA	ℤ	0.01
LIA_UltimateAutomizer_Primes_true_unreach_call_c_798	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1170	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1337	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1379	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1471	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1676	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1736	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1741	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1777	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1786	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1789	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_179	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1879	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_1887	LIA	ℤ	0.48
LIA_UltimateAutomizer_nested9_true_unreach_call_i_277	LIA	ℤ	0.01
LIA_UltimateAutomizer_nested9_true_unreach_call_i_637	LIA	ℤ	0.09
LIA_UltimateAutomizer_nested9_true_unreach_call_i_755	LIA	ℤ	0.12
LIA_UltimateAutomizer_nested9_true_unreach_call_i_763	LIA	ℤ	0.12
LIA_UltimateAutomizer_nested9_true_unreach_call_i_807	LIA	ℤ	0.20
LIA_UltimateAutomizer_nested9_true_unreach_call_i_927	LIA	ℤ	0.75
LIA_UltimateAutomizer_recHanoi03_true_unreach_call_true_termination_c_2715	LIA	ℤ	0.11
LIA_UltimateAutomizer_recHanoi03_true_unreach_call_true_termination_c_278	LIA	ℤ	0.11
LIA_tptp_ARI025_1	LIA	ℤ	0.01
LIA_tptp_ARI027_1	LIA	ℤ	0.01
LIA_tptp_ARI079_1	LIA	ℤ	0.01
LIA_tptp_ARI083_1	LIA	ℤ	0.01
LIA_tptp_NUM916_1	LIA	ℤ	0.00
LRA_2010_Monniaux_QE_mjollnir1_formula_092	LRA	ℚ	0.02
LRA_2010_Monniaux_QE_mjollnir1_formula_133	LRA	ℚ	0.02
