problem	domain	status	vampire_s
ALG033+1	ALG	Theorem	0.41
ALG043+1	ALG	Theorem	0.01
ALG069+1	ALG	Theorem	0.06
ALG096+1	ALG	Unsatisfiable	0.61
ALG106+1	ALG	Theorem	0.36
ALG122+1	ALG	Theorem	0.22
ALG147+1	ALG	Unsatisfiable	0.56
ALG164+1	ALG	Unsatisfiable	0.59
ALG177+1	ALG	Theorem	0.22
ALG183+1	ALG	Theorem	0.13
ALG200+1	ALG	Theorem	0.01
ALG245-1	ALG	Unsatisfiable	0.72
ANA013-2	ANA	Unsatisfiable	0.00
ANA016-2	ANA	Unsatisfiable	0.11
ANA020-2	ANA	Unsatisfiable	0.01
ANA023-2	ANA	Unsatisfiable	0.01
CAT026+1	CAT	Theorem	0.08
COL002-2	COL	Unsatisfiable	0.29
COL002-4	COL	Unsatisfiable	0.03
COL004-3	COL	Unsatisfiable	0.01
COL042-8	COL	Unsatisfiable	0.34
COL051-1	COL	Unsatisfiable	0.00
COL062-1	COL	Unsatisfiable	0.08
COL064-2	COL	Unsatisfiable	0.00
COL088-1	COL	Unsatisfiable	0.21
COL090-3	COL	Unsatisfiable	0.01
COM003-1	COM	Unsatisfiable	0.01
COM017+1	COM	Theorem	0.11
COM018+1	COM	Theorem	0.01
CSR038+1	CSR	Theorem	0.01
CSR040+1	CSR	Theorem	0.02
CSR055+1	CSR	Theorem	0.01
CSR059+1	CSR	Theorem	0.01
GEO274+1	GEO	Theorem	0.26
GEO280+1	GEO	Theorem	0.47
GRA001-1	GRA	Unsatisfiable	0.00
GRP003-1	GRP	Unsatisfiable	0.01
GRP068-1	GRP	Unsatisfiable	0.14
GRP118-1	GRP	Unsatisfiable	0.09
GRP126-2.004	GRP	Unsatisfiable	0.21
GRP128-2.006	GRP	Unsatisfiable	0.29
GRP129-4.004	GRP	Unsatisfiable	0.22
GRP131-1.002	GRP	Unsatisfiable	0.01
GRP411-1	GRP	Unsatisfiable	0.64
GRP457-1	GRP	Unsatisfiable	0.01
